"","Beer","Brewery","Location","Style","Size","ABV","IBU"
"251","Christmas Ale","West Sixth Brewing","Lexington, KY","Herbed / Spiced Beer","12 oz.","9.0%","N/A"
"252","Rhode Island Blueberry","Coastal Extreme Brewing Company","Newport, RI","Kölsch","12 oz.","4.6%","11"
"253","Newport Storm IPA","Coastal Extreme Brewing Company","Newport, RI","American IPA","12 oz.","6.5%","75"
"254","Amber Ale","King Street Brewing Company","Anchorage, AK","American Amber / Red Ale","12 oz.","5.1%","N/A"
"255","Watermelon Ale","Beer Works Brewery","Lowell, MA","Fruit / Vegetable Beer","12 oz.","5.0%","10"
"256","Peach Pale Ale","Lone Tree Brewing Company","Lone Tree, CO","American Pale Ale (APA)","12 oz.","5.7%","40"
"257","Sous Chef","Brewery Vivant","Grand Rapids, MI","Belgian Strong Pale Ale","16 oz.","8.2%","N/A"
"258","White Reaper","Evil Czech Brewery","Mishawaka, IN","Belgian IPA","16 oz.","7.0%","61"
"259","Bobblehead","Evil Czech Brewery","Mishawaka, IN","American Pale Wheat Ale","16 oz.","5.1%","N/A"
"260","Lucky Dog","Evil Czech Brewery","Mishawaka, IN","American Pale Ale (APA)","16 oz.","5.2%","N/A"
"261","Voodoo","Evil Czech Brewery","Mishawaka, IN","American Porter","16 oz.","4.8%","N/A"
"262","Four String Vanilla Porter","Four String Brewing Company","Columbus, OH","American Porter","12 oz.","6.0%","N/A"
"263","Suncaster Summer Wheat","Four String Brewing Company","Columbus, OH","American Pale Wheat Ale","12 oz.","5.0%","28"
"264","Clean Shave IPA","Glabrous Brewing Company","Pineland, ME","American IPA","12 oz.","6.7%","70"
"265","Brass Knuckle Pale Ale","Four String Brewing Company","Columbus, OH","American Pale Ale (APA)","12 oz.","5.7%","36"
"266","Big Star White IPA","Four String Brewing Company","Columbus, OH","American White IPA","12 oz.","7.0%","70"
"267","Fenway American Pale Ale","Beer Works Brewery","Lowell, MA","American Pale Ale (APA)","12 oz.","5.8%","45"
"268","Firestarter India Pale Ale","Bonfire Brewing Company","Eagle, CO","American IPA","12 oz.","6.6%","72"
"269","Watermelon Ale","Thomas Hooker Brewing Company","Bloomfield, CT","Fruit / Vegetable Beer","12 oz.","5.1%","11"
"270","Back Bay IPA","Beer Works Brewery","Lowell, MA","American IPA","12 oz.","6.8%","85"
"271","Bunker Hill Blueberry Ale","Beer Works Brewery","Lowell, MA","Other","12 oz.","4.8%","16"
"272","Dubbelicious","Brewery Vivant","Grand Rapids, MI","Dubbel","16 oz.","6.5%","N/A"
"273","4000 Footer IPA","Woodstock Inn, Station & Brewery","North Woodstock, NH","American IPA","12 oz.","6.5%","82"
"274","Psychopomp","Brewery Vivant","Grand Rapids, MI","Belgian Dark Ale","16 oz.","6.2%","N/A"
"275","Unchained #18 Hop Silo","Summit Brewing Company","St. Paul, MN","American Double / Imperial IPA","16 oz.","8.3%","100"
"276","Consilium","Renegade Brewing Company","Denver, CO","American Pale Ale (APA)","12 oz.","5.0%","40"
"277","Cali Creamin'","Mother Earth Brew Company","Vista, CA","Cream Ale","12 oz.","5.2%","21"
"278","Deception","Black Market Brewing Company","Temecula, CA","American Blonde Ale","12 oz.","4.5%","16"
"279","Nitro Can Coffee Stout","Vault Brewing Company","Yardley, PA","American Stout","12 oz.","5.2%","N/A"
"280","Harness the Winter","Bent Paddle Brewing Company","Duluth, MN","American IPA","12 oz.","7.2%","87"
"281","Doomtree","Surly Brewing Company","Brooklyn Center, MN","Extra Special / Strong Bitter (ESB)","16 oz.","5.7%","N/A"
"282","Welcome to Scoville","Jailbreak Brewing Company","Laurel, MD","American IPA","12 oz","6.9%","N/A"
"283","Rule G IPA","Smartmouth Brewing Company","Norfolk, VA","American IPA","12 oz.","7.0%","88"
"284","Murphy's Law","Smartmouth Brewing Company","Norfolk, VA","American Amber / Red Ale","12 oz.","5.8%","35"
"285","Alter Ego","Smartmouth Brewing Company","Norfolk, VA","Saison / Farmhouse Ale","12 oz.","6.2%","33"
"286","Hop in the ‘Pool Helles","Base Camp Brewing Co.","Portland, OR","American Pilsner","12 oz.","4.9%","22"
"287","P-Town Pilsner","Alameda Brewing","Portland, OR","American Pilsner","12 oz.","4.0%","20"
"288","Klickitat Pale Ale","Alameda Brewing","Portland, OR","American Pale Ale (APA)","12 oz.","5.3%","36"
"289","Yellow Wolf Imperial IPA","Alameda Brewing","Portland, OR","American Double / Imperial IPA","12 oz.","8.2%","103"
"290","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"291","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"292","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"293","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"294","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"295","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"296","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"297","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"298","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"299","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"300","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"301","Nonstop Hef Hop","Hopworks Urban Brewery","Portland, OR","American Pale Wheat Ale","16 oz.","3.9%","20"
"302","Rise Up Red","Hopworks Urban Brewery","Portland, OR","American Amber / Red Ale","16 oz.","5.8%","60"
"303","Pine Belt Pale Ale","Southern Star Brewing Company","Conroe, TX","American Pale Ale (APA)","12 oz.","6.5%","45"
"304","Third Eye Enlightened Pale Ale","Steamworks Brewing Company","Durango, CO","American Pale Ale (APA)","12 oz.","6.5%","65"
"305","Watermelon Wheat","Horny Goat Brew Pub","Milwaukee, WI","American Pale Wheat Ale","12 oz.","5.6%","N/A"
"306","Laka Laka Pineapple","Horny Goat Brew Pub","Milwaukee, WI","Hefeweizen","12 oz.","5.1%","17"
"307","Oktoberfest","Horny Goat Brew Pub","Milwaukee, WI","Märzen / Oktoberfest","16 oz.","6.0%","N/A"
"308","Fat Paczki","Brewery Vivant","Grand Rapids, MI","Belgian Dark Ale","16 oz.","???","N/A"
"309","Earth-Like Planets","Brewery Vivant","Grand Rapids, MI","Belgian Pale Ale","16 oz.","???","N/A"
"310","IPA #11","Cheboygan Brewing Company","Cheboygan, MI","American IPA","16 oz.","5.7%","58"
"311","Blood Orange Honey","Cheboygan Brewing Company","Cheboygan, MI","Fruit / Vegetable Beer","16 oz.","5.7%","10"
"312","Main St. Virginia Ale","Center of the Universe Brewing C...","Ashland, VA","Altbier","12 oz.","5.0%","40"
"313","Summer Ale","Ipswich Ale Brewery","Ipswich, MA","American Blonde Ale","12 oz","4.9%","N/A"
"314","Mr. Blue Sky","Griffin Claw Brewing Company","Birmingham, MI","American Pale Wheat Ale","16 oz.","4.5%","6"
"315","Weisse Versa (2012)","Karbach Brewing Company","Houston, TX","Hefeweizen","12 oz.","5.2%","16"
"316","Oktoberfest","Rivertowne Brewing Company","Export, PA","Märzen / Oktoberfest","12 oz.","6.2%","N/A"
"317","The Green Room","Uncle Billy's Brewery and Smokeh...","Austin, TX","American IPA","16 oz.","6.0%","75"
"318","Neato Bandito","Deep Ellum Brewing Company","Dallas, TX","Euro Pale Lager","12 oz.","6.0%","N/A"
"319","18th Anniversary Gose","Real Ale Brewing Company","Blanco, TX","Gose","12 oz.","4.4%","5"
"320","Straub Beer (Current)","Straub Brewery","St Mary's, PA","American Adjunct Lager","12 oz.","5.0%","N/A"
"321","Black Hop IPA","Shebeen Brewing Company","Wolcott, CT","American Black Ale","12 oz.","6.8%","N/A"
"322","Humbucker Helles","Uncle Billy's Brewery and Smokeh...","Austin, TX","Maibock / Helles Bock","16 oz.","4.7%","25"
"323","Point Special (Current)","Stevens Point Brewery","Stevens Point, WI","American Adjunct Lager","12 oz.","4.7%","9"
"324","Point Special","Stevens Point Brewery","Stevens Point, WI","American Adjunct Lager","12 oz.","4.7%","9"
"325","Royal Lager","Weston Brewing Company","Weston, MO","American Pale Lager","16 oz.","???","N/A"
"326","Hop Ryot","Jackie O's Pub & Brewery","Athens, OH","American IPA","12 oz.","6.5%","N/A"
"327","2014 IPA Cicada Series","Southern Prohibition Brewing Com...","Hattiesburg, MS","American IPA","16 oz.","7.5%","72"
"328","Axe Head Malt Liquor","Minhas Craft Brewery","Monroe, WI","American Malt Liquor","24 oz.","9.9%","N/A"
"329","Morning Wood Wheat (Current)","Pug Ryan's Brewery","Dillon, CO","American Pale Wheat Ale","12 oz.","5.9%","14"
"330","Huber Bock (2014)","Minhas Craft Brewery","Monroe, WI","Bock","16 oz.","5.4%","N/A"
"331","Minhas Light (2012)","Minhas Craft Brewery","Monroe, WI","Light Lager","12 oz.","4.0%","N/A"
"332","Porter Culture","Hops & Grains Brewing Company","Austin, TX","American Porter","12 oz.","6.5%","N/A"
"333","Pay It Forward Cocoa Porter","West Sixth Brewing","Lexington, KY","American Porter","12 oz.","7.0%","N/A"
"334","Old Soul","Crazy Mountain Brewing Company","Edwards, CO","Belgian Strong Pale Ale","12 oz.","7.5%","25"
"335","Lighthouse Amber","Cheboygan Brewing Company","Cheboygan, MI","Altbier","16 oz.","5.2%","N/A"
"336","Sietsema Red Label","Sietsema Orchards and Cider Mill","Ada, MI","Cider","16 oz.","6.9%","N/A"
"337","Extra Pale Ale","Summit Brewing Company","St Paul, MN","American Pale Ale (APA)","12 oz.","5.3%","49"
"338","Behemoth","Core Brewing & Distilling Company","Springdale, AR","American Pilsner","12 oz.","5.0%","N/A"
"339","Oklahoma Suks","Independence Brewing Company","Austin, TX","American Amber / Red Ale","12 oz.","4.8%","32"
"340","Cubano Espresso","Cigar City Brewing Company","Tampa, FL","Bock","12 oz.","5.5%","25"
"341","Rip Van Winkle (Current)","Weston Brewing Company","Weston, MO","Bock","12 oz.","8.0%","N/A"
"342","Hunny Do Wheat","Third Street Brewhouse","Cold Spring, MN","American Pale Wheat Ale","12 oz.","4.8%","18"
"343","Sinister Minister Black IPA","Southern Prohibition Brewing Com...","Hattiesburg, MS","American IPA","16 oz.","7.7%","65"
"344","Gansett Light","Narragansett Brewing Company","Providence, RI","Light Lager","16 oz.","3.7%","10"
"345","O’Malley’s Stout","Weston Brewing Company","Weston, MO","English Stout","12 oz.","???","N/A"
"346","O’Malley’s IPA","Weston Brewing Company","Weston, MO","American IPA","12 oz.","7.5%","89"
"347","O’Malley’s Irish Style Cream Ale","Weston Brewing Company","Weston, MO","Cream Ale","12 oz.","???","N/A"
"348","L'il Lucy's Hot Pepper Ale","Weston Brewing Company","Weston, MO","Chile Beer","12 oz.","4.9%","28"
"349","Drop Kick Ale","Weston Brewing Company","Weston, MO","American Amber / Red Ale","12 oz.","5.2%","N/A"
"350","Little Red Cap","Grimm Brothers Brewhouse","Loveland, CO","Altbier","12 oz.","6.3%","43"
"351","Shark Tracker Light lager","Cisco Brewers","Nantucket, MA","Light Lager","12 oz.","4.8%","N/A"
"352","Charlie's Rye IPA","Angry Minnow","Hayward, WI","American IPA","16 oz.","6.0%","N/A"
"353","New Cleveland Palesner","Platform Beer Company","Cleveland, OH","American Pilsner","12 oz.","5.0%","N/A"
"354","Perpetual Darkness","Odyssey Beerwerks","Arvada, CO","Belgian Strong Dark Ale","12 oz.","9.2%","72"
"355","Clan Warrior","Odyssey Beerwerks","Arvada, CO","Scotch Ale / Wee Heavy","12 oz.","8.7%","29"
"356","Psycho Penguin Vanilla Porter","Odyssey Beerwerks","Arvada, CO","American Porter","12 oz.","5.4%","36"
"357","Deadeye Jack","Lonerider Brewing Company","Raleigh, NC","American Porter","12 oz.","6.0%","N/A"
"358","Watershed IPA","Oakshire Brewing","Eugene, OR","American IPA","12 oz.","6.7%","70"
"359","Pistols at Dawn","Lonerider Brewing Company","Raleigh, NC","American Stout","16 oz.","7.5%","N/A"
"360","Peacemaker Pale Ale","Lonerider Brewing Company","Raleigh, NC","American Pale Ale (APA)","12 oz.","5.7%","47"
"361","Shotgun Betty","Lonerider Brewing Company","Raleigh, NC","Hefeweizen","12 oz.","5.8%","11"
"362","Sweet Josie","Lonerider Brewing Company","Raleigh, NC","American Brown Ale","12 oz.","6.1%","30"
"363","Smitten","Bell's Brewery","Kalamazoo, MI","Rye Beer","16 oz.","6.0%","N/A"
"364","Cast Iron Oatmeal Brown","4 Hands Brewing Company","Saint Louis, MO","American Brown Ale","12 oz.","5.5%","N/A"
"365","Ultra Gnar Gnar IPA","Base Camp Brewing Co.","Portland, OR","American IPA","12 oz.","6.7%","60"
"366","Fort Pitt Ale","Fort Pitt Brewing Company","Latrobe, PA","American Amber / Red Ale","12 oz.","???","N/A"
"367","Turnrow Harvest Ale","Tin Roof Brewing Company","Baton Rouge, LA","American Blonde Ale","12 oz.","5.5%","N/A"
"368","Jack the Sipper","Southern Prohibition Brewing Com...","Hattiesburg, MS","Extra Special / Strong Bitter (ESB)","12 oz.","5.3%","45"
"369","Knotty Blonde Ale","Three Creeks Brewing","Sisters, OR","American Blonde Ale","12 oz.","4.0%","18"
"370","Ginja Ninja","2 Towns Ciderhouse","Corvallis, OR","Cider","12 ounce","6.0%","N/A"
"371","Fivepine Chocolate Porter","Three Creeks Brewing","Sisters, OR","American Porter","12 oz.","6.2%","40"
"372","Hoodoo Voodoo IPA","Three Creeks Brewing","Sisters, OR","American IPA","12 oz.","6.2%","82"
"373","Hopportunity Knocks IPA","Caldera Brewing Company","Ashland, OR","American IPA","12 oz.","6.8%","100"
"374","Wild Trail Pale Ale","Greenbrier Valley Brewing Company","Lewisburg, WV","American Pale Ale (APA)","12 oz.","5.7%","44"
"375","Mothman Black IPA","Greenbrier Valley Brewing Company","Lewisburg, WV","American Black Ale","12 oz.","6.7%","71"
"376","Camelback","Phoenix Ale Brewery","Phoenix, AZ","American IPA","12 oz.","6.1%","60"
"377","Knotty Pine","Lumberyard Brewing Company","Flagstaff, AZ","American Pale Ale (APA)","12 oz.","5.4%","N/A"
"378","PUNK'N","Uinta Brewing Company","Salt Lake City, UT","Pumpkin Ale","12 oz.","5.0%","10"
"379","Sunbru Kölsch","Four Peaks Brewing Company","Tempe, AZ","Kölsch","12 oz.","5.2%","17"
"380","River House","Martin House Brewing Company","Fort Worth, TX","Saison / Farmhouse Ale","16 oz.","5.0%","20"
"381","Smooth Operator","Right Brain Brewery","Traverse City, MI","Cream Ale","16 oz.","3.8%","N/A"
"382","Summer Brew","Woodstock Inn, Station & Brewery","North Woodstock, NH","American Pilsner","12 oz.","2.8%","15"
"383","Homefront IPA","Sly Fox Brewing Company","Phoenixville, PA","American IPA","12 oz.","6.0%","70"
"384","Sundown","Round Guys Brewing","Lansdale, PA","Saison / Farmhouse Ale","12 oz.","7.1%","36"
"385","Beer Agent Re-Ignition","Great Crescent Brewery","Aurora, IN","American Blonde Ale","16 oz.","5.3%","22"
"386","Pinner Throwback IPA","Oskar Blues Brewery","Longmont, CO","American IPA","12 oz.","4.9%","35"
"387","Power & Light","Independence Brewing Company","Austin, TX","American Pale Ale (APA)","12 oz.","5.5%","42"
"388","1492","Boxcar Brewing Company","West Chester, PA","American Pale Ale (APA)","12 oz.","6.5%","N/A"
"389","Mango Ginger","Boxcar Brewing Company","West Chester, PA","American IPA","12 oz.","5.8%","N/A"
"390","Passenger","Boxcar Brewing Company","West Chester, PA","English Dark Mild Ale","12 oz.","4.7%","N/A"
"391","Devil's Harvest Extra Pale Ale","Southern Prohibition Brewing Com...","Hattiesburg, MS","American Pale Ale (APA)","12 oz.","5.8%","60"
"392","Suzy B Dirty Blonde Ale","Southern Prohibition Brewing Com...","Hattiesburg, MS","American Blonde Ale","12 oz.","5.0%","20"
"393","The Golden One","High Hops Brewery","Windsor, CO","American Pilsner","12 oz.","6.3%","21"
"394","The Power of Zeus","High Hops Brewery","Windsor, CO","American Pale Ale (APA)","12 oz.","7.0%","68"
"395","Aviator Raspberry Blonde","Crooked Fence Brewing Company","Garden City, ID","American Blonde Ale","12 oz.","4.9%","25"
"396","Little Sister India Style Session Ale","Everybody's Brewing","White Salmon, WA","American IPA","12 oz.","4.3%","60"
"397","Blood Orange Gose","Anderson Valley Brewing Company","Boonville, CA","Gose","12 oz.","4.2%","N/A"
"398","Ski Patrol","Brewery Vivant","Grand Rapids, MI","Witbier","16 oz.","6.1%","N/A"
"399","Mastermind","Fiddlehead Brewing Company","Shelburne, VT","American Double / Imperial IPA","12 oz.","8.1%","N/A"
"400","Reprise Centennial Red","4 Hands Brewing Company","Saint Louis, MO","American Amber / Red Ale","12 oz.","6.0%","N/A"
"401","Alter Ego","4 Hands Brewing Company","Saint Louis, MO","American Black Ale","12 oz.","5.5%","N/A"
"402","Divided Sky","4 Hands Brewing Company","Saint Louis, MO","American IPA","12 oz.","6.5%","N/A"
"403","Resurrected","4 Hands Brewing Company","Saint Louis, MO","American IPA","12 oz.","6.5%","N/A"
"404","Hinchtown Hammer Down","Flat 12 Bierwerks","Indianapolis, IN","American Blonde Ale","16 oz.","5.0%","27"
"405","Nomader Weiss","Evil Twin Brewing","Brooklyn, NY","Berliner Weissbier","12 oz.","4.0%","N/A"
"406","Huber","Minhas Craft Brewery","Monroe, WI","American Pale Lager","12 oz.","5.0%","N/A"
"407","Clear Creek Ice","Minhas Craft Brewery","Monroe, WI","American Pale Lager","16 oz.","6.2%","N/A"
"408","Clear Creek Ice","Minhas Craft Brewery","Monroe, WI","American Pale Lager","12 oz.","6.2%","N/A"
"409","Mountain Crest","Minhas Craft Brewery","Monroe, WI","American Pale Lager","16 oz.","5.5%","N/A"
"410","Mountain Crest","Minhas Craft Brewery","Monroe, WI","American Pale Lager","12 oz.","5.5%","N/A"
"411","Mountain Creek (2013)","Minhas Craft Brewery","Monroe, WI","American Pale Lager","12 oz.","5.5%","N/A"
"412","Boxer","Minhas Craft Brewery","Monroe, WI","American Adjunct Lager","24 oz.","5.0%","N/A"
"413","Boxer Light","Minhas Craft Brewery","Monroe, WI","Light Lager","12 oz.","4.2%","N/A"
"414","Boxer Ice","Minhas Craft Brewery","Monroe, WI","American Adjunct Lager","12 oz.","5.5%","N/A"
"415","Boxer","Minhas Craft Brewery","Monroe, WI","American Adjunct Lager","12 oz.","5.0%","N/A"
"416","Rebirth Pale Ale","New Orleans Lager & Ale Brewing ...","New Orleans, LA","American Pale Ale (APA)","12 oz.","5.0%","N/A"
"417","Ball & Chain (2014)","Spiteful Brewing Company","Chicago, IL","American Pale Ale (APA)","16 oz.","5.8%","N/A"
"418","Point Cascade Pale Ale (2013)","Stevens Point Brewery","Stevens Point, WI","American Pale Ale (APA)","12 oz.","5.4%","33"
"419","Rahr's Blonde","Rahr & Sons Brewing Company","Fort Worth, TX","Munich Helles Lager","12 oz.","4.6%","N/A"
"420","Pretzel Stout","Martin House Brewing Company","Fort Worth, TX","American Stout","16 oz.","6.5%","47"
