Beer,Brewery,State,Region,Style_12,Style_05,Size,ABV,IBU
Pine Belt Pale Ale,Southern Star Brewing Company,TX,South,Pale Ale,Ale,16,6.5,45
Bombshell Blonde,Southern Star Brewing Company,TX,South,Pale Ale,Ale,12,5.0,20
Gandhi-Bot Double IPA (16 oz.) (2010),New England Brewing Company,CT,Northeast,IPA,Strong Ale,16,8.8,85
Caldera Pale Ale (2011),Caldera Brewing Company,OR,West,Pale Ale,Ale,12,5.6,55
Ashland Amber Ale,Caldera Brewing Company,OR,West,Dark Ale,Dark,12,5.4,24
Caldera IPA,Caldera Brewing Company,OR,West,IPA,Strong Ale,12,6.1,94
Montana Trout Slayer Ale (2009),Big Sky Brewing Company,MT,West,Pale Ale,Ale,12,5.0,35
Moose Drool Brown Ale (2009),Big Sky Brewing Company,MT,West,Dark Ale,Dark,12,5.1,26
Bikini Blonde Lager,Maui Brewing Company,HI,West,German Lager,Lager,12,4.5,18
Big Swell IPA,Maui Brewing Company,HI,West,IPA,Strong Ale,12,6.2,65
Tule Duck Red Ale (Current),Buckbean Brewing Company,NV,West,Dark Ale,Dark,16,6.2,42
Original Orange Blossom Ale (Current),Buckbean Brewing Company,NV,West,Other,Other,16,5.8,35
Black Noddy Lager (Current),Buckbean Brewing Company,NV,West,German Lager,Lager,16,5.2,40
113 IPA,Sly Fox Brewing Company,PA,Northeast,IPA,Strong Ale,12,7.0,113
Dunkel Lager,Sly Fox Brewing Company,PA,Northeast,German Lager,Lager,12,5.3,21
Royal Weisse Ale,Sly Fox Brewing Company,PA,Northeast,German Ale,Ale,12,5.6,11
Pikeland Pils,Sly Fox Brewing Company,PA,Northeast,German Lager,Lager,12,4.9,44
Phoenix Pale Ale,Sly Fox Brewing Company,PA,Northeast,Pale Ale,Ale,12,5.1,40
Bitter Brewer,Surly Brewing Company,MN,Midwest,Sour,Other,16,4.0,37
SurlyFest,Surly Brewing Company,MN,Midwest,Other,Other,16,5.5,34
Coffee Bender,Surly Brewing Company,MN,Midwest,Dark Ale,Dark,16,5.1,45
Bender,Surly Brewing Company,MN,Midwest,Dark Ale,Dark,16,5.1,45
Abrasive Ale,Surly Brewing Company,MN,Midwest,IPA,Strong Ale,16,9.7,120
Hell,Surly Brewing Company,MN,Midwest,German Lager,Lager,16,5.1,20
CynicAle,Surly Brewing Company,MN,Midwest,Ale - Other,Ale,16,6.7,33
Furious,Surly Brewing Company,MN,Midwest,IPA,Strong Ale,16,6.2,99
Monk's Blood,21st Amendment Brewery,CA,West,Belgian,Ale,12,8.3,35
Brew Free! or Die IPA,21st Amendment Brewery,CA,West,IPA,Strong Ale,12,7.0,65
Hell or High Watermelon Wheat,21st Amendment Brewery,CA,West,Sour,Other,12,4.9,17
Ten Fidy Imperial Stout,Oskar Blues Brewery,CO,West,Stout / Porter,Dark,12,9.9,98
GUBNA Imperial IPA,Oskar Blues Brewery,CO,West,IPA,Strong Ale,12,9.9,100
Old Chub,Oskar Blues Brewery,CO,West,Strong Ale,Strong Ale,12,8.0,35
Gordon Ale (2009),Oskar Blues Brewery,CO,West,IPA,Strong Ale,12,8.7,85
Dale's Pale Ale,Oskar Blues Brewery,CO,West,Pale Ale,Ale,12,6.5,65
